question,choices,answer
"A cat is wandering outside , where is likely to be found ?",floor|residential area|bed|comfortable position|family room,residential area
How are dogs generally toward people ?,very smart|very loyal|friendly|found outside|furry,friendly
All energy on earth comes from the sun . It arrives in what form ?,light|lightning|life on earth|sun tan|heat,light
"The homeowner wanted new flooring installed , where did they want it specifically ?",home depot|bundle|house|mansion|loft,house
Where is a good place to leave a car in public ?,race track|parking lot|in the market place|city|repair shop,parking lot
What is something only humans can do ?,hear sounds|drive cars|reproduce|make mistakes|excrete,drive cars
"The car had its turn signal one , where was it stopped ?",neighbor 's house|in phoenix|repair shop|sidewalk|street corner,street corner
What would rain do if you did n't have an umbrella ?,tickle|water garden|wet clothes|wet ground|start to fall,wet clothes
"I went to eat in a restaurant , but I left because the person at the front was n't what ?",drinking wine|make reservations|polite|spit on me|prepared to pay,polite
"If an area is not thick with resource , those resources are what ?",free flowing|translucent|sparse|slender|clear,sparse
How might one go about instituting a civil action ?,disobedience|court case|trial|anger|complications,court case
What is the primary duty of a chef ?,manual|thin sauce|study french cooking|cook dinner|prepare food,prepare food
"He was trying to eat more green , as in simple ingredients rather than what foods ?",ripe|greenweed|yellow|processed|cloy,processed
Where might a large personal apple tree be ?,wisconsin|countryside|fields|front yard|backyard,front yard
What are you about to do after cashing in your chips at a casino ?,retire|betrayal|resentment|leave|profit,leave
What is something bad unlikely to be to anyone ?,exceptional|virtuous|advantageous|strength|sufficient,advantageous
Why do people go hiking ?,drink water|get lost|get tired|enjoy nature|hunger,enjoy nature
Sam put his return ticket in a special box . It was where he kept all of his what ?,airline envelope|airport|plane|tickets|keepsakes,tickets
What would you hold by the handle while many people are watching you ?,grasping things|the door|baseball bat|coffeepot|watering can,baseball bat
"Jill is in a shopping complex in Ann Arbor , where is Jill ?",suburbia|arizona|heavily developed area|michigan|big city,michigan
Where are you when you put your birth control pill to the test ?,drug store|bedroom|chemist 's shop|medicine cabinet|womans purse,bedroom
"He always tried to shop local , he did n't like to support what kind of product ?",homegrown|foreign|national|far away|worldwide,foreign
"After exercising for 3 hours straight , what did the girl experience ?",exhaustion|muscle growth|tiredness|sore muscles|pain,pain
"Jim wanted to make a fortune but did n't like physical labor or dealing with people , what did he try studying ?",cookie|real estate|stock market|treasure chest|treasure hunting,stock market
Where would you put your change if you plan to use it soon and you are a man ?,backseat of car|purse|pocket|jar|wallet,pocket
When remembering you referencing things that you have what ?,memory cells|learning about|prior knowledge of|brain cells|nerve cells,prior knowledge of
Susan threw the highly elastic ball at the wall . The ball did what ?,bounce|recoil|rebound|underwear|stretch,rebound
If a person loses their balance while on roller skating and ca n't recover what happened to them ?,injury|falling down|injuries|hit people|move fast,falling down
"He had an active imagination , sleeping was always an adventure because of his wild whats ?",nightmares|death|when i have a nightmare|erections|dreams,dreams
Where would a zoo keep a lemur ?,bank|australia|cage|forrest|hole,cage
James felt the best place to install the spa would be where ?,resort|country club|attic|backyard|health centre,backyard
What is the farmer 's main goal ?,farm land|beer cans|can produce|raise crops|seed plants,raise crops
"All his friends said they liked girls who were thick , but he preferred them healthy but what ?",slim|brainy|ocean|slender|runny,slim
When people in trance are trying to calm themselves what do they do ?,run|confusion|meditate|epilepsy|hallucination,meditate
How can a person destroy a car after becoming inebriated ?,being high on drugs|drunkenness|talking nonsense|drunk driving|automobile accidents,automobile accidents
What is the result of getting drunk ?,intoxication|death|erections|hangover|being sick,hangover
Mable loved horses . She 'd do what with them every time she visited the farm ?,clean|play|eat grass|dominated|kept in barn stalls,play
Where in your pants would you keep a kleenex ?,pocket|box|blow nose|purse|bag,pocket
"A person wants to be like Michael Phelps , what should they do first ?",feel relieved|cross street|act responsibly|avoid swimming|learn to swim,learn to swim
Where is the president likely to meet others ?,trouble|election|press conference|country|board room,board room
Marmot 's can be found in high places . They have hands that they can use to get to the top of what ?,outside|hill|jungle|rocky hillside|tree,tree
What would happen if you are loving another and he or she does not love you ?,satisfaction|peace|love|happiness|heartache,heartache
"Where can you buy a pail , nails and a hammer ?",garage|garden|hardware store|basement|utility room,hardware store
Where should a blank sheet of paper be ?,printer|box|office|add numbers|in a binder,printer
Most lizards achieve locomotion using what ?,four legs|bones|tail|change color of skin|backbone,four legs
Where would a cat not belong ?,back alley|swimming pool|milky way galaxy|compost pile|back yard,milky way galaxy
Where are there lots of seats placed in rows surrounding a court ?,show|auditorium|movies|soccer stadium|hockey game,auditorium
If a student is failing what should they try to achieve ?,better grade|read book|pass course|study history|write on books,better grade
Where would a marmoset be unable to breathe ?,latin america|dictionary|france|underground|burrow,underground
Why does a bodybuilder eat so much ?,pleasant conversation|store food for winter|satisfy hunger|sounds of digestion|gain weight,gain weight
"When I take clean clothes out of the dryer , what do I do to to them next ?",soap|fold them|take off|launder|sort,sort
What is the intended biological function when a person has sex ?,compliments|reproduce|sweating|talented|affluent,reproduce
What can you do while resting that affects other people ?,lying down|fall asleep|time passes|snore|loud,snore
What does a shareholder own ?,building|large company|headache|financial trouble|factory,large company
In Canada you 'll hear most people doing what to converse ?,speak in tongues|water plants|talk to each other|raise children|speaking english,speaking english
What type of environment does a lemur call home ?,australia|india|cage|rain forest|forrest,forrest
What 's the first thing you have to do to return to work one day ?,make sure properly dressed|it department|leave work|go to meeting|get out of bed,get out of bed
What is a positive effect of creating art ?,controversy|communication|pleasure|heart|pride,pride
When is an electric storm likely to occur ?,summer|weather report|america|hot|tropics,summer
Where do I put a folding chair if I have more guests than expected in my house ?,auditorium|ocean|church|room|garage,room
"A good musician has a keen ear , they pick up much more than the normal person when they what ?",play violin|hear sounds|ocean|blow trumpet|stage,hear sounds
A cat sometimes has trouble deciding whether or not to come in or out of what ?,residence|warm place|zoo|floor|front door,front door
Where would you put sunglasses if you do not have a shirt but want to bring the sunglasses with you ?,in shoes|bag|shirt pocket|drugstore|glove compartment of car,bag
What type of gift shop can you by replicas of paintings ?,railway station|disneyland|airport|museum|hotel,museum
"The old saying is that taxes are inevitable , and also what ?",discount|death and|refund|free money|spend,death and
Where is a bad place to put a cemetery ?,churchyard|country|most cities|funeral|populated area,populated area
Bob destroyed Wendy 's favorite toy . Wendy is n't sad because she believes she can do what to it ?,raise|make|reincarnate|repair|build,repair
You can find a protected forest in just about any what ?,temperate zone|national park|south africa|countryside|amazon basin,national park
What is a book where you can find the meaning of a word ?,encyclopedia|sentence|dictionary|phrase|language,dictionary
Sam was moving out to college . His parents packed up all of his old toys are placed them in long term storage . Where might they put the boxes of toys ?,these twos are incorrect answers|bed|basement|floor|store,basement
Where can you get a yoyo ?,toy shop|brother 's room|own home|game store|toy store,toy shop
The plate needed to be put away where did the mother put it ?,flea market|kitchen cupboard|dishwasher|restaurant|museum,kitchen cupboard
What do those of a relative committing suicide likely to feel ?,sorrow|uncomfortable|harm to others|being dead|death,sorrow
Where will more than a drop of blood be spilt ?,during a fight|needle|person|battlefield|test tube,battlefield
Where would you put a saw if you do not need to use it soon and your house only has one floor ?,logging camp|in the vehicle|tool shed|toolbox|basement,tool shed
You can do what do share your memories of visiting a museum ?,cry|take pictures|talk loudly|whisper|entertainment,take pictures
"If I want a horse from New England , what state should I look in ?",in kentucky|canada|engraving|new hampshire|new england,new hampshire
Why would someone be listening to music ?,dance|profit|enjoyment|keep time|learning,enjoyment
"China transports lots of cargo , one way is by sea in a very large what ?",ship 's hold|boat|bus|aeroplane|airplane,boat
"The instructor showed how to keep everything tied tight , he did n't want to see any what in their lines ?",loose|baggy|gas|broad|slack,slack
"Billy was a forgiving person . When Marna confessed to him , she felt what ?",redemption|absolution|great relief|very sad|make up,great relief
If you were lazy you 'd probably choose to just watch television simply because what ?,entertained|see favorite show|plug in|get comfortable|you 're bored,you're bored
"He got in the bus in Hell and got off at Christmas , it was a fun trip through where ?",big cities|new york|university|city|michigan,michigan
What task can a lawyer plan for to engage a witness who has been difficult to find ?,come early|state case|nullified|clear of all charges|produce evidence,come early
Beside clasping their hands what do people do when praying ?,whisper|kneel down|bow|talking to god|ask for help,kneel down
What is the opposite of ordinary ?,strange|special|unbelievable|exceptional|weird,exceptional
John needs a screwdriver to take the old blade off of his lawnmower . Where does John look for his screwdriver ?,toolkit|tool belt|handyman|bar|repair shop,toolkit
"She really wanted her husband to pick a place to have dinner , but he was so used to her choosing he just replied with what ?",wherever|medium|void|nowhere|being,wherever
Where could you find a very large amount of air ?,park|surface of earth|train station|space shuttle|house,surface of earth
Where would you find an auditorium without students ?,lights|city|theater|university campus|funeral,theater
Where do people go to see animals ?,surface of earth|state park|zoos|laboratory|garden,zoos
"The large container caught rain water , though hardly potable it was used to water the what ?",supermarket|drive way|factory|garden|warehouse,garden
What does having to obtain lunch at a restaurant result in ?,dining|spending money|heartburn|digestion|obesity,spending money
What is a lawyer required to do during the discovery phase of a trial ?,charge fee for service|come early|convict|produce evidence|state case,produce evidence
"James had difficult beginning work , but once it did he did n't stop . He worked best when he had what ?",panic|stress|anxiety|accomplishing|momentum,momentum
Where is a place a beaver would n't feel free ?,woodlands|cage|canada|ontario|zoo,zoo
"Where is there almost always a telephone book , since the telephone is nearby ?",library|under chair|telephone booth|house|at hotel,telephone booth
Where is gruber exacavation from ?,quarry|park|egypt|work area|montana,montana
"Tickling for a prolonged period of time can cause dizziness and with the spinning , what else can happen ?",vomiting|laughing|giggling|nausea|itchiness,nausea
"People die , that 's why you tend to find a graveyard where ?",by a bus stop|every town|arlington|church property|city,every town
The spine is located in your,human body|back|lumbar|book|skeleton,back
What emotional state are you in if driving a car in heavy traffic ?,transportation|patient|stress|getting somewhere|relaxation,stress
What has happened after a tennis game has started ?,progress|achievement|park|match|field with tennis court,progress
"After getting drunk and crashing his car , what resulted for him ?",police award|erections|violence|injury|illness,injury
What is the process of maintaining rosebushes in a lawn called ?,cooking|landscaping|california|backyard|courtyard,landscaping
What part of a property may be next to a driveway ?,yard|neighborhood|driving car on|subdivision|suburb,yard
Where would people be conscious of the material doors are made of after watching a disaster preparedness video ?,restroom|wall|building|apartment|theater,apartment
Some people use love to do what for themselves ?,entertain|rub one out|wait for|procreate|live life,entertain
"He wanted to research well-crafted chesterfield , where should he look ?",museum|living room|museum|derbyshire|foyer,museum
How does a person know how to make the right decision ?,new experiences|good looking|trust himself|questioning|acknowledgment,trust himself
"If people are 19 years of age , what has happened already to most of them ?",die suddenly|go to jail|complete high school|believe in god|cross river,complete high school
There is normally a parking area near what collection of small dwellings ?,book store|people|apartment complex|school yard|amusement park,apartment complex
Cuddling in bed after sex is what kind of way to spend time with a loved one ?,painful|adorable|dirty|effect of insemination|pleasant,pleasant
I person is likely to say they are what after a good dance ?,sad|like dancing|express yourself|am happy|meet people,am happy
"The scientists dealt with many preserved specimens , so their what was equipped with cold storage ?",warehouse|laboratory|freezer|book store|refrigerator,laboratory
John loves to eat baked potato but he does n't have time to cook . Where might he go for potatoes ?,restaurants|pantry|store|root cellar|casserole,restaurants
You go into a building and see many people going in and out of the entry way . Most going out are carrying plastic bags . Where might you be .,park|house|office building|department store|own home,department store
The president usually lays his weary head to bed where ?,bedroom|whitehouse|corporation|government|pta,whitehouse
What might going to play lead to for a child ?,moody|happy|meet|being entertained|sit,being entertained
Where might I find the names of a place to stay ?,hotel|phone book|motel|in a story book|city,phone book
What specific area is known for it 's bay ?,lake|shoreline|beach|coastal area|manhattan,manhattan
"Whilst his girlfriend preferred sweet , he preferred what kind of snacks ?",lame|sour|ocean|salty|dry,salty
Light from the sun goes past earth and becomes weaker as it spreads out into the what/,a locked room|attic|desk|universe|ocean,universe
What happens to a body when they die ?,killed in war|cremated|opposed to war|introverted|murdered,cremated
Where is aberdeen in the US located ?,washington|europe|scotland|maryland|south dakota,washington
"Instead of buying brand new pens , what part can you replace to keep using them ?",ink in|ink cartridges|take notes|color|caps,ink cartridges
Sonny thought the concert hall was best located in a place with a lot of people . Where might he put it ?,university building|shopping malls|commercial building|theater|city,city
If there is nothing left after paying bills you are what ?,broke|headaches|grief|worries|empty,broke
Where would a ballpoint pen be useful for a writing a check ?,bank|backpack|office desk|home|desk drawer,bank
"He was going to sleep at his summer home , he turned on an electric fan to air out his what ?",home|office|closet|field|hot room,hot room
Where could an electric razor be exposed to water ?,medicine cabinet|outside|k mart|bathroom|wal mart,bathroom
"People look outside and see that it 's cold and snowy , what do they likely opt to do ?",believe in god|stay in|wear swimsuit|eat corn|expect to die,stay in
What is the opposite of beautiful ?,a witch|plain|homely|overcast|ugly,homely
What do you end up with after cooking ?,full feast|cooked food|having dinner|get food|pride,cooked food
A bald eagle flew through the heavens above what conversely named erosion ?,colorado|hells canyon|sky|south lake tahoe|central idaho,hells canyon
James wanted to eat hamburger . He wanted to do so in order to do what ?,good to eat|satisfy hunger|cook one|taste|protein,satisfy hunger
"His anger reached a boiling point , the therapist said they should take a break and what ?",cool off|fight|destroy enemy|illustrate point|write letter,cool off
Where are rats that live with turtles likely to be ?,roof|sewers|cellar|laboratory|reptile farm,sewers
Where is one likely to find a mathematical rule ?,text book|family situation|everything|bible|lawbook,text book
What is a maid usually hired for ?,cleaning house|iron shirts and trousers|clean house|maid uniform|clean room,cleaning house
What do we call a garden that is found in public ?,fence|back yard|ground|pretty|park,park
Sam was a student at Elmhurst elementary . She was late when the bell rang so she ran in the hall trying to do what ?,go to high school|answer question|charming|go to class|try to get,go to class
"The buffalo were big thick and easy to spot , but the were hunted to the point that their numbers were what ?",thin|stomach|clear|sparse|thickskin,sparse
Jogging can do what for your body ?,sweating|improved health|increased heart rate|eat cake|being tired,improved health
What might a friend throw a party for another friend ?,keep secret|write letter|steady|rely on|coming home,coming home
What symptom does smoking relate to the organ of breathing ?,death|birth defects|heart attack|persistent cough|bad breath,persistent cough
What indoor facility would hold an airplane ?,hanger|propellers|sky|military base|garden,hanger
"The seafood restaurant specialized in fresh caught Atlantic fish , but a controversy arose that it was getting them from the grimy rivers around where ?",new york|city|industrial district|coastal cities|boston,new york
"The person had a talent he wanted to donate to a cause , so what did he do ?",write check|thank god|teach another|show emotion|work for free,work for free
What happens when not paying attention when bathing ?,dry skin|using soap|reading newspaper|shampoo|slip and fall,slip and fall
How does killing someone usually end ?,horrible|remorse|pleasure|with a knife|funeral,funeral
"The teacher told the class they would be taking a lot of notes this semester , he recommended buying a what just for this class ?",school|meeting|notebook|meeting|desk,notebook
What could a tennis game be part of ?,match|progress|championship|park|field with tennis court,match
The cat knew to come just by the sound of what being opened ?,tuna fish|food now|nap|train|four legs,tuna fish
What does a person feel when they are close to their birthday ?,presents|eat every day|excited|expressive|compliments,excited
How do people exchange information to large groups at work ?,newspaper|meeting|library|television|telegram,meeting
Bailey could n't find a place to leave his vehicle because he could n't find a parking lot anywhere . It was a very small what ?,business district|city|town|car|vehicle,town
WHen do people sit around a table together at work ?,kitchen|poker|meeting|livingroom|internet cafe,meeting
The breaker that distributes electricity in your home is usually found where ?,basement|bedroom|concert|opera|back yard,basement
What does a lead for a journalist lead to ?,very heavy|lead pencil|store|card game|news article,news article
Where might one see a fine picture as the background of their surrounding environment ?,work|desktop|wall|art show|shelf,art show
"People are helping others while expecting nothing in return , how are they behaving ?",deceptive|cruel|naive|altruistic|weird,altruistic
What does a person who is a gardener have ?,own house|contribution to society|food|ride horses|green thumb,green thumb
"She was competing , but felt inadequate , what did she apply to improve performance ?",steroids|anger|increased effort|adrenaline rush|vain thoughts,increased effort
"The glass ceiling was a what , that was n't enough to defeat her opponent ?",building|leak|loft|sag|metaphor,metaphor
If he did not pass course this semester he would have to what ?,learn|fail|get certificate|go back to|feel proud,go back to
Where could you find one booking office ?,city|bank|building|mall|england,building
Where do people typically make a friend as an adult ?,at school|neighbor 's house|at a bar|workplace|unexpected place,workplace
"She choked while eating hamburger , what was the result ?",satisfaction|yum|gas|death|gain weight,death
"When I have a sponge , but am unsure of where to use it , where should I use it ?",wet surface|clean dishes|collect water|hold water|wet surface,wet surface
"Sally bought tickets to the event and headed out . She was a fan , though some people found it boring and loud . She liked watching them go around . Where is Sally going ?",train station|opera|show|dance|race track,race track
What is something someone driving a car needs even to begin ?,practice|feet|sight|keys|open car door,sight
James needed the tools now . He wished he had remembered to pack them when ?,later|other time|tomorrow|then|broke,then
"Seating is usually thought to be best in the center of the room , about halfway back , in what place ?",bus depot|rest area|theatre|church|classroom,theatre
"She would cogitate over every little thing , she was what ?",obsessive compulsive|sit quietly|sit and think|have brain|schizophrenic,obsessive compulsive
What North American country really likes watching matches on a soccer field ?,playground|canada|outside|mexico|park,mexico
"The peninsula and panhandle make for a long coast , this is why many people like to vacation or retire where ?",united states|florida|country|where it is hot|california,florida
A theory requires that the hypothesis be what ?,practice|practical|fact|operable|practise,practical
Where do you buy your birth control pills ?,woman 's purse|riley 's|drug store|medicine cabinet|bedroom,drug store
"The roadway passed a sign and gate house , what was behind the gatehouse ?",city|narnia|subdivision|neighborhood|countryside,subdivision
"The forests were depleting everywhere , what does this negatively affect ?",woodcutting|countryside|south america|earth|national park,earth
What store is likely to have a non-functioning train as a result of electricity loss ?,train station|church|basement|rest area|toy store,toy store
Bailey liked playing games against other people . He found it exhilarating . What might Bailey like about games ?,arguments|anger|learning|relaxation|competitiveness,competitiveness
Where are you likely to find just a few words ?,books|sentence|newspaper|mouth|ring true,sentence
"Her brother and sister-in-law were coming to visit , she told the kids that uncle and who were coming ?",aunty|boy|niece|most families|falling down,aunty
What would you do if you see food on a plate ?,clean|cook|hunt|hungry|eat,eat
Jenny was stuck at home most of the time without anyone to talk to . She went dancing because she wanted to do what ?,meeting people|fatigue|having fun|intercourse|pick up her next victim,meeting people
Where would you find cloth to sleep on ?,kitchen|linen closet|fabric store|bedroom|garage,bedroom
"A small dog is lost in Copenhagen , what is the dogs likely nationality ?",denmark|new hampshire|backyard|danish|coffin,denmark
James was not good at socializing but he did n't care . He just wanted to do what ?,instagating|trouble|have fun|making friends|anxiety,have fun
What sort of wet area does an anemone inhabit ?,wet pool|tidal basin|vase of flowers|tide pool|field of flowers,tidal basin
What could you find moving in a ticket office ?,humans|movie theaters|city|animals|stadium,humans
What is normally the first room as you enter your house ?,master suite|bathroom|basement|rooms|living room,living room
"If you are chatting with friends , and you think the same thing as what your friends say , what has happened ?",communication|answers|magic|happiness|agreement,agreement
"The tennis court enjoyed older , more refined clientele , where was it located ?",wimbledon|park|health club|high school|college campus,health club
Where is the world known to be a part of ?,a fraud|countries|universe|galaxy|thought,universe
Where are light bulbs frequently found ?,basement|house|theatre|room|lamp,room
If one is neutral with regards to seeing idea become reality what would they most likely feel ?,fulfilling|elation|accomplished|feeling good|being satisfied,being satisfied
He thought it was appropriate to visit a french restaurant after the ice hockey game while visiting what famous bilingual city ?,nyc|big city|wine|snow|montreal,montreal
"The jelly was opened and likely to spoil , where should someone put it ?",away|jar|donuts|peanut butter|refrigerator,refrigerator
"The rich kids suffered from boredom , one suggested heading up to his parents lodge and that they what ?",hang out at bar|play games|skateboard|have dinner|go skiing,go skiing
"Humans are said to have this thing , but dogs are thought not to have it , What is it ?",no consciousness|bones|tongue hanging out|pointed ears|bad breath,no consciousness
Bob rested his bottom on a chair in the orchestra pit . A bottom is also called what ?,auditorium|chin|butt|opera house|theatre,butt
John wanted to play tennis . He thought he might be able to find a tennis court somewhere . Where might he look ?,park|town|venus williams|wimbledon|michigan,park
Where the newspaper landed if not on the porch ?,roof|front door|lawn|subway|library,lawn
"He was climbing higher and higher , what was he scared of as he got higher ?",exhaustion|accomplishment|eagles|exhilaration|falling down,falling down
"A person is done eating lunch , why have they likely stopped ?",there is no more food|sleepiness|satisfy hunger|feel full|feel sleepy,feel full
What might happen after winning a baseball game ?,joy|celebration|pride|in good spirits|happiness,celebration
Sally checked her undersink and oversink cabinets to see where they were make . Where might they have been made ?,pantry|mexico|texas|planes|kitchen,mexico
What kind of real estate agent would sell a house for less than what it is worth ?,incompetent|manipulate|fib|charming|exaggerate,incompetent
Where is a snake unlikely to be welcome ?,hollow log|arid climate|petting zoo|ocean|tropical forest,petting zoo
What is the purpose of drinking water ?,swallow|headaches|hydration|hunger|vomiting,hydration
"The small dog was something of a homebody , it loved naps on the couch where ?",big house|dog show|small apartment|limousine|living room,living room
"Sam needed to rest after a long day of work , but he did n't have time to sleep . So instead he just went to the couch . What might he do on the couch ?",pig out|lay down|go to bed|slow pace|relax,lay down
Alabama has to consider a hurricane once in awhile as it is one of the whats ?,gulf states|united states|seaport|alabama|deep south,gulf states
What kind of food is not sweet ?,dry|wet|bitter|nonsweet|decaying,bitter
Where would you likely go to buy an armoire ?,living room|furniture store|butcher shop|house|bedroom,furniture store
Where do commuters usually move quickly ?,road|freeway|city|race track|race,freeway
"A cow is pretty boring , unless they jump over a moon in a what ?",nursery rhyme|stable|rural area|meat farm|northern california,nursery rhyme
Feet that have been in boots all day will what ?,walk|hands|stay still|stink|sing,stink
Where would you find many a bookshelf ?,bedroom|library|book store|furniture store|ocean,library
What delta state is known for good bbq ?,backyard|ribs|restaurant|louisiana|texas,louisiana
James got a stuffed animal from a UFO catcher machine . Where might he have done this ?,toy store|farm|children 's room|amusement park|hall,amusement park
She needed help from a friend to over tighten the strap on her fancy what ?,brassiere|strapline|chemise|brace|golf bag,brassiere
A harmonica might be the smallest instrument sold where ?,blues band|rock band|pocket|music store|shop counter,music store
"James constructed a playroom for his children . His place was small , so he put it in an unattached what ?",preschool|indoor games|nursery school|building|big house,building
"If I am forgiving , what might my conscience and sense of vengeance find ?",respect|peace|good karma|new freedom|good heart,new freedom
"If your punched in the nose , your eyes will probably do what ?",see work|glass over|see light|dry out|fill with tears,fill with tears
"John was working late at night in a Casino . When he got off work , he looked for a bar but could n't find one . Where might he go instead ?",restaurant|nightclub|las vegas|atlantic city|new york city,nightclub
"Upon discovering the remains of the lost city , what did archaeologists try to preserve ?",use|rot|waste|ruin|decay,ruin
"Even though they were never told or forced to obey , the people still fashionably claimed they what ?",resist|respect|violate|defy|rebel,resist
Where would a business man keep a plane ticket with other documents ?,briefcase|boarding plane|airport|pocket|shirt sleeve,briefcase
When running a business what is the opposite of debt ?,misery|savings|surplus|lend|profit,profit
Where would you get some chocolate if you want to bake a cake ?,box|supermarket|chicken stall|restaurant|movies,supermarket
If you were going public outing and heart was racing what are you feeling ?,pain|embarrassment|panic|sorrow|tired,panic
"It was time for her favorite program , she got comfortable and turned on the what ?",concert|opera|computer|television|lamp,television
How might one conquer boredom by controlling the destiny of imaginary kingdoms ?,play chess|read|play cards|watch film|play games,play chess
What kind of business would you make if you want to help people ?,nonprofit|art|pyramid scheme|pleasure|personal,nonprofit
What draws ground water away from your and your neighbor 's yard ?,house next door|next house|suburbs|ditch|trees,ditch
Early humans would do what on the walls of caves ?,lay eggs|draw pictures|make tools|compete with each other|eat fruit,draw pictures
What grows well in the sun ?,west|beach|beans|universe|plants,beans
What can I use in order to play a disk in a portable device ?,cd player|computer hard drive|music|data storage|computer store,cd player
The prisoner would often escape but he was also just as often what ?,be imprisoned|being caught|being trapped|captured|stay in,being caught
What is likely to happen from eating too much regularly ?,getting full|getting fat|gas|satisfaction|gaining weight,gaining weight
Where would you find politicians in London ?,coffee house|washington d.c|talk nonsense|government|parliament,parliament
A person who is constantly grooming is try to preserve their what ?,late|injury|satisfaction|outfit|beauty,beauty
Jane need to memorize the section because she was expected to do what to it in class ?,repeat|awake|concentrate|write out|act out,repeat
The carotid is a main artery susceptible to damage where ?,neck|face|busy city|torso|human body,neck
"The ranch house overlooked unobscured mountains and valleys , where was it located ?",subdivision|montana|countryside|metropolis|desert,countryside
Where would you put a fire extinguisher if there is only one floor in your house and you can not cook food in your house ?,kitchen|garage|outside|house|stairwell,garage
"It could have been a beautiful day , but what stopped the sun from shining ?",cloudy|grotesque|evil|hideous|ugly,cloudy
If you brush your hair while bathing what is a good place to store a round brush ?,kitchen|shower|department store|art supplies|hair salon,shower
What can not happen to you while you are sleeping ?,have fun|dreams|nightmares|relaxation|bad dreams,have fun
Sally knows a person who works at a distillery . He takes public transportation to his job every day . What is his job ?,catch cold|wear jeans|take bus|eat cake|make wine,make wine
"They got their kid a nice new play mat , they put it in front of the TV in the where ?",pool|bathroom|school|living room|doorway,living room
Where might a person play an acoustic guitar at a birthday party ?,studio|at funeral place|house|music shop|closet,house
"The man put flooring in above his garagge , what was he looking to make ?",loft|bedroom|house|kitchen|home depot,loft
What should my family and I look into getting if we do n't want an egg from the supermarket ?,farm|henhouse|chicken coop|plate|bird 's nest,henhouse
"The child was lonely , what did he want from his parents ?",overabundance|comprehensive|plentitude|superabundance|presence,presence
Where are you likely to find a lot of maps ?,amusement park|drawing|atlas|backpack|classroom,atlas
"Sean was in a trouble . His clothes were not high quality . In fact , they were very what ?",bad taste|crummy|poor workmanship|cheap|ripped,cheap
What happens to people if they are having difficulties ?,need each other|own things|sleep together|go for parties|pay bills,need each other
"She looked at all the noisy flashing one-armed bandits , if she was going to play she was going to be what ?",saving money|spending money|being entertained|intermission|sleepiness,spending money
Billy was searching for leaves to add to his collection . Where might he have looked for them ?,compost pile|floral arrangement|trees|bathroom|forrest,forrest
What extremely large southern area in the U.S. has venomous snakes ?,western texas|feild|amazon river|high grass|falling down,western texas
"Billy could n't pick a side against a friend , so he stood where ?",angle|in between|front back|toeside|center,in between
"He needed a stapler and index card , he figure where would be the best place to purchase them ?",oral report|book store|library|card catalogue|office supply store,office supply store
Some idiots die of dehydration because they spend too much time playing games . Where might someone play games so much ?,bar|sporting event|hockey game|baseball field|internet cafe,internet cafe
Where would a dental office be furthest in the direction of the side that won the Civil War ?,michigan|city|hospital|minnesota|state,michigan
"Sometimes people seem like robots , but really we 're all just what ?",stupid|inhumane|human|dangerous|strange,human
James walked barefoot on a something that was made hot by sunshine . What is he probably walking on ?,desktop|summer|moon|meadow|street,street
What high rise is often made of windows ?,warehouse|friend 's house|building|space shuttle|wall,building
"From state to state gardeners appreciate the bee , it is a popular pollinator where ?",united states|apiary|michigan|trees|field of flowers,united states
Where are beautiful cars often found ?,bridge|car show|freeway|parking lot|race track,car show
"They frequently had guests stay over , so even though it was n't the exact style they wanted they decided on a sofa bed for the what ?",hotel|roof|basement|living room|horseradish,living room
What type of person usually gets an illness ?,beach|elderly person|stomach|hospital|body,elderly person
What will a contraceptive device avoid the creation of ?,person|drug store|pharmacy|drugstore|children,person
A person who studies constantly is trying to do what ?,own house|know everything|make more money|spare time|show off,know everything
What causes a moving car ?,gas|accidents|ticket|traffic accident|driving,driving
Water turns turbines in what type of structure ?,hydroelectric dam|puddle|sump pump|underground stream|sink,hydroelectric dam
If two people have a common goal how can they accomplish that goal ?,agree with each other|work together|make love|have fun|shake hands,work together
"He was going to be working from home , he began to install the program on his what ?",speaker|television|theater|opera|computer,computer
Where could you see someone pretending to be an action figure but not trying to sell action figures ?,bathtub|theater|museum|store4|toy store,theater
Where can you store candy to keep it from going stale ?,trunk of car|jar|movies|disneyland|supermarket,jar
Where will my kid put their coin in their room ?,piggy bank|wishing well|parking meter|under pillow|change purse,piggy bank
Science is a difficult subject . What 's a purer subject ?,faith|astronomy|discovery|arts|math,math
If there is a grocery store nearby it is in your what ?,neck of the woods|town|shopping center|neighborhood|street,neighborhood
"If someone is fiddling a fiddle at random , what song are they likely to play next ?",dancing about|unpredictable|being happy|troubles|they play cricket,unpredictable
"Some people really enjoy others , for them socialising is a way of what ?",anxiety|become more popular|become popular|meeting new people|having fun,having fun
"The man asked to have a tissue holder installed at the dealership , where did they put it ?",convenient spot|bathroom or bedroom|office|airplane|car,car
What kind of place does a beaver call home ?,ontario|zoo|marshland|woodlands|canada,woodlands
If you wait until the last minute when buying christmas presents what are you likely to experience ?,debt|pleasure|good cheer|lack of money|stress,stress
"The show was done live , but what were the producers worried about ?",audio|neutral|being dead|recorded|broadcast,broadcast
A gazelle needs to run and jump when it 's on what sort of terrain ?,wildlife refuge|open field|steppe|encyclopedia|field,steppe
